Operating System,"Kindly issue new US LAN, as US LAN i am using its connectors are not working. My seat no. GR10C.5.753"
Hardware Issues,Mouse is defective. Needs to be replaced
Hardware Issues,Laptop screen got accidentally damaged.
Hardware Issues,System is not working .
Operating System,IMPORTANT: Activities that need to be completed prior to your end of loan period with KGS- 10 June 2019 (KI)
Operating System,IMPORTANT: Activities that need to be completed prior to your end of loan period with KGS- 10 June 2019 (KI)
Operating System,IMPORTANT: Activities that need to be completed prior to your end of loan period with KGS- 10 June 2019 (KI)
Hardware Issues,Connector need to replace for monitor.
Hardware Issues,Request for Temp Charger.
Hardware Issues,Laptop Charger replacement
Hardware Issues,Required 4 Sata Cable.
Hardware Issues,User requesting charger for today.
Hardware Issues,IP phone is not working
Hardware Issues,Unattended monitor on my desk
Hardware Issues,required - monitor connector
Operating System,LAN cable required
Hardware Issues,required mouse seat no 174
Hardware Issues,"required power code,"
Hardware Issues,Mouse Not working properly please replace this mouse as it is checked by IT team.
Hardware Issues,Mouse is not working.
Operating System,Please provide me new bag. Infinity tower.
Hardware Issues,Need additional mouse for a day Seat no. 259 6th floor building 10-C
Hardware Issues,user required G4 adapter for today only.
Hardware Issues,Hardware issue - Laptop Screen
Hardware Issues,Extension phone not working
Hardware Issues,connector for screen and laptop
Hardware Issues,Mouse is not working properly
Hardware Issues,Need to change monitors and keyboard
Hardware Issues,There is network issue in entire QRM-Team since yesterday which impacts productivity as we have large volume of work. No of users impacted is more tha
Hardware Issues,"Test ticket - please ignore, Test ticket - please ignore, Test ticket - please ignore,"
Operating System,laptop bag requested
Operating System,Request for requirement of Privacy Screen
Hardware Issues,Temp Laptop Charger provided to user.
Hardware Issues,I need one additional charger for laptop
Hardware Issues,Please replace faulty desktop screen
Hardware Issues,Additional screen not working properly - need replacement
Hardware Issues,temporary charger borrowed for w/e 8th June
Operating System,Privacy Screen
Network Issues,Airtel Data Dongle not working.
Hardware Issues,Require a temporary laptop charger for next two weeks.
Operating System,laptop bag replacement
Network Issues,I have an Airtel Datacard which is not working now. May be the data plan has expired. Can you please check. The datacard number is Y4QDU17123006638
Hardware Issues,Monitor not working due to loose plug point
Hardware Issues,Laptop not getting charged
Hosted Applications,Eaudit not opening
Hosted Applications,Not able to launch eAudIT.
Hosted Applications,Eaudit not working
Hosted Applications,Not able to open eAudit
Hosted Applications,Unable to Launch eA
Hosted Applications,E-audit not working
Hosted Applications,eAudit crashing in UK VDI.
Hosted Applications,unable to access 2019 version of eAudit
Hosted Applications,Eaudit is not responding on UK VDI.
Hosted Applications,e-Audit not responding.
Hosted Applications,unable to open eAudit
Hosted Applications,eAudit file backup
Hosted Applications,eAudIT application not opening on VMware
Hardware Issues,Forgot the password of Cisco phone
Login issues,unable to login please reset my password
Login issues,User can not login the system.
Hardware Issues,Damage to Laptop
Hardware Issues,Mouse is not working properly.
Hardware Issues,laptop display damage
Hardware Issues,Mouse is not working properly
Network Issues,Network issue with data card
Hardware Issues,There is connectivity with the present Data card. Requested to help on that .
Network Issues,Data card not working properly.
Hardware Issues,Docket not working
Lost Accessories,Data card lost. Please provide a temporary data card.
Hardware Issues,extend issue- blank screen
Hosted Applications,Log In Issue(VDI)
Application Issues,"I am unable to save WATS for last two days. It is showing ""Microsoft Excel has stopped working""."
Hosted Applications,Unable to access outlook in US VDI.
Hosted Applications,VDI EMAIL NOT OPENING
Hosted Applications,unable to login in VDI
Hosted Applications,unable to connect Skype calls in VDI
Hosted Applications,Unable to Login to VDI
Hosted Applications,eAudIT is closing frequently
Hosted Applications,Outlook not launching.
Hosted Applications,VDI Outlook is not opening
Hosted Applications,EReview application is not functioning properly
Hosted Applications,TRACS Issue
Hosted Applications,FAS is not working in TAX VDI
Hosted Applications,Server Web mail is not responding. unable to open server web mail.
Hosted Applications,KPMG 'Tax interest for windows' app is not working. Unable to take the Pdf print of penalty and interest calculation
Hosted Applications,"GORS is unavailable- showing error as "" HTTP Error 503. The service is unavailable"
Application Issues,Unable to login to server skype
Hosted Applications,Vertex Issues
Hosted Applications,VDI ISSUE
Hosted Applications,Server Issue
Hosted Applications,Out look and Webmail application not working under US VDI
Hosted Applications,User is unable to open vertex application.
Application Issues,Citrix login issue
Hosted Applications,VDI Picture
Operating System,need to restart services on user machine - comm vault nehagoyal4@kpmg.com
Operating System,Trust relationship error
Hosted Applications,Unable to login in myKPMG SAP via VMware for UK. (https://p33.de.kworld.kpmg.com:8440/irj/portal)
Application Issues,not able to connect to SyNC
Hosted Applications,Not able to fill up SAP Timesheet
Hardware Issues,Blue Dump error
Hosted Applications,Eaudit application installation in VDI.
Hardware Issues,"Wifi is not working unable to browse or work,"
Application Issues,Unable to print even after saving relevant lines on word file or excel file.
Application Issues,Unable to access java
Application Issues,IE is not working
Application Issues,color print not working
Hardware Issues,LAN not working
Operating System,need to run windows patches ON USER machine
Hosted Applications,GetIT on VMWare not working
Application Issues,Unable to access Internet Explorer using US credentials . This is for the purpose of accessing SYNC.
Hardware Issues,US LAN Cable
Login issues,User Can not log in the system.
Hardware Issues,Laptop is not powering on.
Application Issues,Orion is not working in Gurgaon location.
Application Issues,Skype not working properly.
Application Issues,Adobe Acrobat not working properly
Application Issues,VPN not getting connected.
Network Issues,Not able to login destop
Hosted Applications,Unable to login to UK portal
Hosted Applications,Unable to log into SYNC account due to Account Restrictions
Hosted Applications,Required Visual Studio Professional 2017 in UK VDI request has been raised for the same. Can you please forward the template to expedite the request.
Hosted Applications,Required Python in UK VDI request has been raised for the same. Can you please forward the template to expedite the request.
Hosted Applications,Required Google Chrome in UK VDI request has been raised for the same. Can you please forward the template to expedite the request.
Hardware Issues,keyboard getting stuck not working
Application Issues,"I had access to functional mailbox the access to which has been revoked on request, however the mailbox is still appearing in my outlook"
Application Issues,Color printer access required
IP Phone,Need cisco phone on my desk
IP Phone,Cisco telephone needed on desk
Application Issues,Email Access on mobile Blocked
Application Issues,CapIQ excel PlugIn not working.
Application Issues,Not able to login to skype
Hosted Applications,Want immediate access to UK Alteryx Server
Network Issues,"The LAN port of my laptop seems to have broken, I can't connect my LAN. Seat number GR05C.08.247"
Application Issues,Alteryx R-package installation for the execution of one the projects
Application Issues,Shared drives for WIN 10 VDI
Operating System,Screen not projecting in Quebec conf room
Hardware Issues,Laptop Charger not working
Application Issues,Rekonnect Exit clearance not working.
Application Issues,"My E-mail on hand-held device is blocked. I get the message ""Secure Apps Blocked"". Please help."
Hardware Issues,US Port is not working at Seat GR05C.08.054. Please fix this asap as business is being affected.
Operating System,Certificate issue in training laptops
Hosted Applications,ServiceNow not able to login
Application Issues,Qliksense not working
Application Issues,Unable to upload any documents.
Hardware Issues,Unable to connect to internet.
Hardware Issues,Problem in the laptop charger. Kindly replace the charger. Thanks
Operating System,VNX login not working
Application Issues,"'Translate to english' option not showing up on chrome. My previous incident has not been resolved, though a mail about the resolution has been sent"
Application Issues,
Operating System,Unable to access Skype
Application Issues,Rekonnect and Home Page not working
Application Issues,Access to secure all apps blocked on Cellphone.
Hardware Issues,Additonal screen not working properly
Operating System,"Not able to open some of the app like Calculator, Sticky notes etc, it is giving some error."
Operating System,Organize meeting on WebEx
Operating System,Need to run windows patches on user machine
Application Issues,Unable to access Project uploader functionality on Rekonnect due to some error around Java security
Application Issues,"Hi, can you please install CapitalIQ plugin on priority."
Application Issues,unable to access Rekonnect
Application Issues,Not able to access KPMG India home page
Operating System,Unable to login to system trust relationship error. GR05C.08.103
Operating System,Urgent : IBS working not working
Application Issues,Installation of CapIQ plugin
Application Issues,Internet and outlook not working on machine. Contact: 9953261239
Operating System,Unable to login system. time restrictions. GR05C.08.
Hardware Issues,Laptop's battery not working fine.
Hardware Issues,HP laptop not working.
Hosted Applications,KPMG homepage is not working on internet explorer
Application Issues,Issue while performing the Non - Audit training - the assessment is not calculating the score . I have attempted it five times.
Application Issues,The conflict of interest module has been completed (pfa screenshot) but the assessment tab is freezed
Hosted Applications,Unable to copy files from UK VDI to local Share drive.
Hardware Issues,Desk phone not working fine. The other person on the call is not able to hear my voice
Operating System,I am not able to upload the files in my project
Application Issues,My laptop is working very slow. Every time I open excel file it takes very long time to open and then it hangs up.
Application Issues,"Unable to upload any file to a client site, despite having the admin access. The link to the site is: https://management.learn.civilservice.gov.uk/c"
Application Issues,Unable to upload PPT on meraskill
Hardware Issues,Unable to connect LAN and Wireless.
Login issues,Unable to open the outlook and Skype.keeping on getting password's GR05C.08.th floor
Hardware Issues,system no working
Application Issues,Unable to communicate via skype though headphones or laptop speaker.
Application Issues,Excel and powerpoint not working properly
Hardware Issues,Laptop is not powering on.
Application Issues,My email access on mobile has been blocked
Hardware Issues,A few function keys on my laptop are dysfunctional and are thus causing me inconvenience.
Application Issues,outlook not opening
Application Issues,Please revoke my YouTube access.
Application Issues,Laptop is working slow. Excel crashing.
Application Issues,Unable to login to Huddle portal.
Hardware Issues,Unable to access Euromonitor
Login issues,User is unable to login to the system.
Application Issues,Excel prompting for sign in.
Hosted Applications,"Unable to map to US network drive \\10.1.100.166, kindly help. Thank you"
Operating System,Open a MAC.dmg file
Hosted Applications,Unable to see Desktop on Citrix
Login issues,system can not login.
Operating System,need to run windows patches on user machine
Hosted Applications,VMware not working
Operating System,Laptop working very slow
Operating System,
Application Issues,CISCO
Hardware Issues,German LAN port not working on GR05C.09 203 seat number
Hosted Applications,Unable to login to UK VDI
Operating System,Certificate issue in training laptops
Operating System,Certificate issue in training laptops
Operating System,Certificate issue in training laptops
Hosted Applications,E-audit is not working in all the training laptops
Hardware Issues,Wifi is not connecting to laptop
Application Issues,Not able to upload assets on AEM
Application Issues,"Hi, As discussed, HRMS folder has mistakenly deleted from this shared drive and DAR Ops folder. Research-Projects2 (\\indelfsr03) (V:) Folder Name - D"
Hardware Issues,Projector issue in Eco meeting Room.
Application Issues,Caller's audio not working in skype while using external headset. (Issue has been fixed by KGS IT through new audio driver installation).
Hosted Applications,User unable to access internet on internet explorer.
Operating System,TV screen is not working in Meeting Room.
Login issues,Unable to login system
Application Issues,Java is not working - need an update
Application Issues,Java is not working - need an update
Hosted Applications,not able to receive any emails on my UK ID - abhishek.gupta2@kpmg.co.uk
Operating System,Need to run windows patches on user machine
Hardware Issues,Cisco Phone Not working
Application Issues,Unable to upload files in US share point.
Application Issues,"Skype, vmvare gets logged out as soon as I lock my laptop"
Application Issues,Mobile email- Blocked
Application Issues,Group mailboxes not expanding
Application Issues,Not able to send mails
Hosted Applications,Need Access for UK-FM R&C Meeting Admin Mailbox access
Hosted Applications,Outlook is not working on VDI
Application Issues,
Operating System,"Not able to make changes in UK DL - ""UK-DLCFMAUKPUExecutives@kpmg.co.uk""."
Hosted Applications,Required access to Appiancloud portal.
Application Issues,Think-cell license key renewal
Hardware Issues,Wifi is not connecting
Hosted Applications,new shared drive not working off US LAN
Hosted Applications,Unable to login VMware remote desktop
Hardware Issues,Please provide me LAN cable My seat number is 198A 9th floor B5 +916283981261
Hosted Applications,Outlook for UK ID (Rajni.singh@kpmg.co.uk) is not working
Operating System,Certificate issue in training laptops
Application Issues,Need to reset password for Secure Mobile app.
Operating System,Websites blocked
Application Issues,I am not able to see reports generated by Thomson one
Application Issues,User is unable to connect to VPN.
Application Issues,I need Mandarin language for excel
Application Issues,Recipients are unable to receive mails.
Application Issues,Java issue for exit clearance
Application Issues,"printer spooler not running. Also, Snipping tool is not working as i am getting error message ""it has been prevented by software restriction policy"""
Application Issues,Mobile iron access is restricted on mobile
Hosted Applications,Unable to access SAP time sheet in UK VDI.
Hosted Applications,"US sync page not opening, GR05C.09.184"
Application Issues,GLMS - Technology Foundations Training - Getting stuck on the same page and everything greyed out
Application Issues,Mail not working on phone
Application Issues,Mobile@work is not working
Application Issues,Default India homepage not opening.
Hosted Applications,Unable to login UK VDI.
Application Issues,Unable to access Network Drive
Application Issues,K drive account locked
Application Issues,My intranet is not working
Application Issues,Printer Access in building 5
Application Issues,Mobile access blocked
Operating System,Need to run windows patches on user machine
Operating System,"Hi Team, My colleague, Riyasat Ali (Seat no.168) is facing issue with his laptop. His laptop is not getting started. Can you please help. Its urgent."
Hosted Applications,Install Tableau 2019.2 on VDI UK desktop. I have the software file ready on my India desktop.
Application Issues,"Excel file crashed, want to recover the lost data"
Hardware Issues,Issues with Wifi
Operating System,Laptop not working properly
Application Issues,User requested to regenerate the PIN for Mobile Iron.
Application Issues,Excel file unable to open.
Operating System,Laptop
Application Issues,Unable to use Super Macro
Operating System,"Hi Team, Need to remove hp drop box plugin from user machine hostname- IN-VRAJESH1 serial number - 5CG709177G"
Operating System,System is getting hanged frequently.
Application Issues,Unable to take the print due to DLP error.
Operating System,Kindly guided the user for guest WIFI credentials.
Operating System,Slowness of laptop
Hardware Issues,Slowness of laptop
Application Issues,User is unable to print documents.
Application Issues,Unable to get registered in Self Help portal.
Application Issues,Unable to login to MobileIron app on my phone
Hosted Applications,Outlook Not Working Cannot Expand the folder of Group Mailboxes
Hosted Applications,Unable to connect to Ms Dynamics site on UK VM horizon client
Hosted Applications,Please give me access to UK shared drive \\uknasdata05\ UK login - ukrchsing21
Application Issues,MS Word Error
Hardware Issues,Cannot start GDC Audit VM desktop
Hosted Applications,Vertex Issue
Hosted Applications,update VDI mail to all mail boxes for future communications
Hosted Applications,eAudit Issue
Hosted Applications,Vertex is not working
Hosted Applications,VDI Mail issue
Operating System,Requested to map some pictures to share with colleagues.
Operating System,Projector connection issue.
Hosted Applications,Unable to connect to UK VMWare
Network Issues,KGS wireless is not working
Hosted Applications,need to attach documents in below URL which is part of my project https://chevron.visualstudio.com
Operating System,Wrong configuration
Hardware Issues,Data card not working speed is 2 g
Operating System,Unable to access Exit Clearance tab from Rekonnect.
Hosted Applications,Unable to connect to VMWARE horizon client.
Operating System,Not able to open Exit clearance in Reconnect Portal
Operating System,Laptop got shutdown for no reason.
Application Issues,Retain is not working properly or very slow
Application Issues,VPN Connection error
Hardware Issues,laptop not booting up
Operating System,
Login issues,User can not Login the system.
Operating System,"KGS : Patch update deployment - June , 2019"
Application Issues,Unable to access Re-Konnect
Hardware Issues,Laptop issue - Head set/Speaker Seat# KOWTC.10.363
Application Issues,Skype call automatically disconnect
Hosted Applications,Audio issue within VDI
Network Issues,Network down/Connection lost
Login issues,System Locked Out
Application Issues,Issue with Citrix receiver.
Operating System,System Monitor is getting into sleep mode due to loose contact
Operating System,Non-Compliance Machines Jun'19
Hosted Applications,Require access to V Drive and File Site in VDI.
Hosted Applications,Installation of 2017-18 & 2018-19 P11D software
Hosted Applications,Low memory in VDI
Hosted Applications,Display issues in VDI
Hosted Applications,Unable to work in VDI - the system is throwing up the following error: Your temporary folder C:\Users\Alphatax\AT DATA\ TEMP\ is running out of disc
Hosted Applications,VDI is not working
Hosted Applications,Low disk space error on UK VDI
Hosted Applications,Low disk space error on UK VDI
Hosted Applications,excel and Skype issue uk VDI.
Hosted Applications,User need to migrate from Win7 to Win10 in UK VDI.
Hosted Applications,Unable to login to UK VDI.
Hosted Applications,"CT scan page is not working - I had given access from UK team to work on this and now this is not functioning, please help ASAP as we are on an urgen"
Hosted Applications,KGS ID Locked out
Hosted Applications,VDI is taking too much time to login. currently not able to login.
Hosted Applications,VDI NOT WORKING
Hosted Applications,access to filesite email management
Hosted Applications,No access to entities.
Hosted Applications,Unable to access File Site
Hosted Applications,VDI is not working
Operating System,"In VDI ""Alphatax"" and ""Excel"" applications appears to ""Not responding"" at times and is occurring frequently Please help."
Hosted Applications,Need to reset my password for my UK ID
Hosted Applications,VDI is not working
Hosted Applications,VDI not working
Hosted Applications,VDI not working
Hosted Applications,Filesite is not working inside the VDI
Hosted Applications,VDI - Login ID has incorrect name spelling
Hosted Applications,Unable to login to UK VDI. the assigned desktop source is not available. UK login ID: ukrckzahra
Hosted Applications,Not able to log in to VDI
Hosted Applications,VDI Windows 10 login issues
Hosted Applications,VDI issues
Hosted Applications,VDI Login Issues.
Hosted Applications,P11D software installation
Hosted Applications,Install Google Chrome for VDI
Hosted Applications,No access to entities.
Hosted Applications,Require access to file site on VDI
Hosted Applications,Please provide V drive access in VDI
Hosted Applications,User is unable to access UK skype.
Hosted Applications,Problem with VDI
Hosted Applications,MSD
Operating System,Unable to login to Windows 10
Hosted Applications,VDI got locked.
Hosted Applications,Unable to access internet explorer
Hosted Applications,Unable to login to VDI.
Hosted Applications,P11D 2018 and 2019 software installation
Hosted Applications,P11D 2017-2018 & 2018-2019 Installation in windows 10
Hosted Applications,VDI issue
Hosted Applications,Workflow tool error
Hosted Applications,P11D Software Installation
Hosted Applications,Unable to login to UK VDI.
Hosted Applications,Unable to login VDI Please help.
Hosted Applications,I have a problem opening some documents in the UK VDI Filesite. Error message is attached below. Please resolve.
Hosted Applications,Low disk space in VDI - User id - UKSPPTAYADE
Hosted Applications,Installation of P11D solutions
Hosted Applications,VDI issue
Hosted Applications,Unable to login to VDI(Win10)
Hosted Applications,Unable to login to Windows 10
Hosted Applications,Unable to print the documents from UK VDI and yesterday VDI got migrated to win10
Hosted Applications,Atals is not working
Hosted Applications,VDI 10 Not working
Hosted Applications,VDI - UK English
Hardware Issues,Monitor display issue.
Hosted Applications,Windows 10 not working VDI
Hosted Applications,VDI Low disc space
Hosted Applications,Unable to login to VDI
Hosted Applications,Low disk space in VDI
Hosted Applications,In VDI V drive is not working.
Hosted Applications,User is unable to login t o UK VDI.
Hosted Applications,Please provide a full access to V drive.
Hosted Applications,Unable to login to VM Ware to access virtual laptop.
Hosted Applications,P11D Installation
Hosted Applications,Outlook Filesite
Hosted Applications,P11D Installation
Hosted Applications,File site is not working in VDI Bo.05.S.601
Hosted Applications,VDI login - UK Tax
Hosted Applications,VDI - Could you please install - P11D software for 2018-19 and 2017-18. please pass this ticket to Puneeth.
Hosted Applications,'U' drive is missing to access the files in the VDI
Operating System,Temporary folder running out of space in VDI
Hosted Applications,Low Disk Space (VDI)
Hosted Applications,VDI Login issue
Operating System,Issues in VDI due to windows 10 upgrade
Hosted Applications,VDI Windows 10 is not working
Hosted Applications,Low disk space in VDI
Hosted Applications,Need to install P11D software in VDI
Network Issues,Lan cable not working
Application Issues,Indian home page not opening
Application Issues,Not able to access new joiners training on GLMS
Hosted Applications,Need free space up to 8GB-10Gb on VDI to install eAudit 2019
Hosted Applications,Can you please clear some space for eAudit installation
Network Issues,Wi-Fi and internet is not working
Hosted Applications,Disk space free up
Hosted Applications,Vm ware not working
Application Issues,Not able to access URL for ATS
Hardware Issues,Mouse is not working.
Hosted Applications,Low disk Space on VDI
Hosted Applications,
Hardware Issues,System Wi-Fi is not working.
Operating System,unable to login showing trust relation issue
Operating System,Retain link does not work on my system.
Hosted Applications,VMware too slow . the clicking and opening apps are taking more time
Application Issues,Indian KPMG home page not working
Operating System,unable to login Trust relation issue.
Hosted Applications,VMware is not working
Hosted Applications,Increase of space in C drive
Hosted Applications,Excel not working in VMWare
Hosted Applications,Need to install Older version of E-audit in user system inside VDI.
Hardware Issues,LAN is not working
Hosted Applications,Unable to fill SAP on VMware
Hardware Issues,wireless is not working even after the access.
Hardware Issues,Charger not working
Operating System,Lan Cable
Application Issues,Rekonnect not working
Login issues,Login failed
Hosted Applications,Unable to access MS outlook on VMaware
Hosted Applications,Not able to access Outlook
Hosted Applications,Please help me free space more than 10 GB to allow the installation of eaudit 2019
Hosted Applications,Unable to install e-Audit 2019
Hosted Applications,Retain tool not reflecting in VMware browser
Hosted Applications,need to install e audit ans sql sever management on UK VDI.
Hardware Issues,Facing network issue. Please try to resolve this incident as soon as possible.
Operating System,Facing regular issue with room booking app. Often get the error that session has timed out.
Hosted Applications,Not able to log on VMware desktop
Application Issues,KRC fit and proper confirmation link not working.
Hosted Applications,VM Ware not working
Operating System,Unable to login to Skype and outlook password issue.
Application Issues,default home page https://intra.ema.kpmg.com not opening.
Operating System,
Application Issues,Need help on 1 excel file not working
Application Issues,System is lagging while typing or switching tabs on excel sheet on AWS
Operating System,Confirmation email not received
Operating System,Install Java
Hosted Applications,unable to connect to VNX. there might be problem in VNX port.
Application Issues,Skype is not working.
Operating System,System frequently getting restarted.
Application Issues,Not able to Log-In KPMG Portal.
Hardware Issues,Left button of Laptop trackpad not working
Application Issues,Need a printer access GR10C.06.221
Application Issues,Unable to access PST folders
Hardware Issues,Laptop not turning on and charging
Operating System,Unable to use search functionality on Windows taskbar
Application Issues,functional mailbox not opening
Application Issues,Unable to login to Skype - Need password reset or credentials?
Operating System,Please help in the installation of MobileIron on mobile (also refer SR1948884)
Hardware Issues,Issue in accessing 2 US trainings
Application Issues,India Home Page not opening
Hosted Applications,Intranet not working in UK portal
Application Issues,Twitter and Facebook blocked for a few team members
Operating System,Facing issues while printing document
Application Issues,Mailbox not working US-FM ADV DAS Design <us-advdasdesign-GM@gdc-kpmg.com>
Operating System,unable to login System. Trust relation error.
Hosted Applications,VM ware not working. My seat no is GR10C6 369
Application Issues,Outlook and Skype not working.
Application Issues,My Outlook is not able to received all emails and not able to login fully on Skype
Hosted Applications,Document extraction tool not working
Hosted Applications,Vertex issue
Hosted Applications,Vertex issue
Hosted Applications,Citrix password forgot
Application Issues,couldnt sign in in Skype in server
Application Issues,Excel slowness
Hosted Applications,Unable to log in to VDI
Hosted Applications,VDI Login Issue(Similar to Yesterday)
Hosted Applications,Login Issue
Application Issues,Unable to access emails on Mobile Iron.
Hosted Applications,need to update Picture on Skype.
Application Issues,Skype Audio/ Video
Application Issues,Skype
Application Issues,Skype
Application Issues,"On my laptop, I am not getting ""Share my desktop"" option in Skype."
Application Issues,Please update my latest pic (attached) on my outlook and skype. I have already updated the pic on mySite and it has been more than 2 weeks but outlook
Application Issues,skype not working
Hosted Applications,Atlas Issue
Hosted Applications,I am not able to login to the citrix
Hosted Applications,activation of Skype inside VDI
Hosted Applications,Eaudit Issue
Hardware Issues,Monitor issue
Hardware Issues,Monitor issue
Operating System,"KGS : Patch update deployment - May , 2019"
Operating System,"KGS : Patch update deployment - April , 2019"
Operating System,Need IT assistance
Hardware Issues,One monitor display issue
Hosted Applications,Unable to login VDI
Hardware Issues,Set up workstation
Hardware Issues,Monitor display issue.
Application Issues,IM is not working
Application Issues,Issues to into Rekonnect
Hardware Issues,Left monitor not switching on
Hardware Issues,Monitor issue
Hardware Issues,Monitor
Application Issues,Skype error
Display Configuration Issues,Display issue.
Hardware Issues,Monitor not working properly. It flickers in between . Also the display is not good
Hardware Issues,Monitor not working
Application Issues,uninstallation of software
Login issues,Unable to login VDI and unable log a ticket on support central. User came after one month KOWTC: 08.430
Hardware Issues,We have noted that there is no internet connection. Please help.
Hardware Issues,Monitor is not working Seat No: KOWTC.10.391
Network Issues,"Airtel Dongle is not working. Showing error message ""sim not detected""."
Hardware Issues,"User is logged in after 1 month unable to user any application. KOWTC.08,223"
Hardware Issues,Display Issue
Hardware Issues,monitor issue-10. 199
Login issues,Unable to login into system
Hardware Issues,Monitor issue.
Login issues,Unable to unlock the desktop
Hardware Issues,MOUSE NOT WORKING PROPERLY.
Hardware Issues,Additional monitor is not working. KoWTC.10.34
Hardware Issues,one monitor is not working
Operating System,login issue
Hardware Issues,Display Issue
Hardware Issues,Monitor not working
Hardware Issues,Monitor is not working
Hardware Issues,Display issue Seat : 10.252
Hardware Issues,Internet is not working KOWTC: 10.5
Hardware Issues,Display Issue
Hardware Issues,KoWTC.10.440. Unable to connect the network lan issue.
Hardware Issues,Display issue
Hardware Issues,
Hosted Applications,Server login issue
Hardware Issues,Docking Station is not working
Reconciliation Activity,"KGS Recon Report ( AV , DLP , Bit locker ) - June ,2019"
Application Issues,Cisco VPN is not working. Please help me.
Application Issues,Login credentials for outlook
Hardware Issues,Noise is coming from my laptop
IP Phone,unable to login voice mail
Hardware Issues,laptop issue
Application Issues,Outlook not working
Application Issues,Power Point not working . Please fix.
Application Issues,Mobile iron not working.
Application Issues,"HI The mobileiron (office emails) on my mobile phone has suddenly stopped working, looks like locked. Please help"
Operating System,https://iamadvisorystg.us.kworld.kpmg.com/ipastg/ Not able to access this link.
Application Issues,Outlook corrupted
Application Issues,I am not able to save new data in SharePoint.
Operating System,SQL server connection not working
Operating System,SUMMUS not working
Application Issues,Rekonnect Plugin installation required.
Hosted Applications,UK account is disabled PFA of the UK checklist
Application Issues,Not able to access the website
Application Issues,Internet issue
Application Issues,unable to access VNX Drive
Application Issues,Not able to upload files to sharepoint. It says Blocked: Confidential data detected.
Login issues,account lock issue
Application Issues,MobileIron sync Issue
Login issues,Account locked
Application Issues,Microsoft Word and Excel - having issues
Hardware Issues,MS Office Issue
Application Issues,I am unable to access to ITIA Share point. Below is the link. \\inblrkgsfsr01\ITIA Can you please look into the issue and Resolve ASAP
Operating System,
Application Issues,BCP VPN not working
Application Issues,"Hi Team,, Unable to login VDI (US)"
Hosted Applications,"Hi Team,, Unable to Login to VDI Error message : Incorrect credentials. Try again"
Application Issues,Attachments not opening in mobile outlook- issue resolved by Kailas
Application Issues,"Hi Team, Iam able to access this sharepoint yesterday. But today iam unable to download the files it is giving me an error as ""Access denied - KPMG""."
Application Issues,SSDT(SQL Server Data Tools) issue
Application Issues,
Application Issues,Unable to do skype video call
Application Issues,"Hi, I am unable to access my SharePoint, it has been blocked. Please resolve this as I have deliverables to work on. Warm Regards, Madhuri"
Application Issues,Unable to take print out
Application Issues,Unable to connect Cisco Any connect and Data card is working.
Hosted Applications,Unable to create Skype meeting on Outlook.
Application Issues,Unable to access MyPD due to SAP NetWeaver error - SR1909708 raised on 26/4/2019
Application Issues,Unable to access the exit clearance page on reconnect java blocked error. user is sitting inside GDC2 03th floor.
